slit_separation_fs,q_loss,rhs_half_deltaI_D,residual_D,PASS_D,rhs_half_deltaI_beta,residual_beta,PASS_beta,rhs_half_deltaI_gkls,residual_gkls,PASS_gkls
-1300.0,1.8215149236540187,,,False,2.4220093663557845,-0.6004944427017658,False,0.3473154728066023,1.4741994508474163,True
-1200.0,1.9445997287427048,,,False,2.277369087693537,-0.33276935895083226,False,0.3205988979753252,1.6240008307673797,True
-1100.0,1.7182169074072884,,,False,2.1280334009242177,-0.4098164935169293,False,0.2938823231440481,1.4243345842632402,True
-1000.0,1.859562574334983,,,False,1.959587848324662,-0.10002527398967898,False,0.26716574831277096,1.592396826022212,True
-900.0,1.901918959969806,,,False,1.760990373260648,0.1409285867091581,True,0.2404491734814939,1.6614697864883121,True
-800.0,2.0715462009900376,,,False,1.534223441688306,0.5373227593017316,True,0.21373259865021677,1.8578136023398208,True
-700.0,2.2169534581859707,,,False,1.2905316566528333,0.9264218015331374,True,0.1870160238189397,2.029937434367031,True
-600.0,1.9235161505529688,,,False,1.0400324681004172,0.8834836824525516,True,0.1602994489876626,1.7632167015653062,True
-500.0,2.383057195237722,,,False,0.8831024166597954,1.4999547785779266,True,0.13358287415638548,2.2494743210813364,True
-400.0,2.221992467354419,,,False,0.6237956431788388,1.59819682417558,True,0.10686629932510838,2.1151261680293105,True
-300.0,2.420739055622096,,,False,0.4403582712382838,1.9803807843838122,True,0.0801497244938313,2.340589331128265,True
-200.0,2.2118097975953823,,,False,0.26794573242006836,1.943864065175314,True,0.05343314966255419,2.158376647932828,True
-100.0,2.0152640107728117,,,False,0.12809617929866268,1.887167831474149,True,0.026716574831277096,1.9885474359415345,True
0.0,2.054786689175641,,,False,0.0,2.054786689175641,True,,,False
100.0,1.7800730541729761,,,False,0.1284843391491153,1.6515887150238608,True,0.026716574831277096,1.753356479341699,True
200.0,2.2208193082067176,,,False,0.26905020239183747,1.95176910581488,True,0.05343314966255419,2.167386158544163,True
300.0,2.266575296883381,,,False,0.4418420241439434,1.8247332727394376,True,0.0801497244938313,2.18642557238955,True
400.0,1.7798876800206371,,,False,0.6236360749875735,1.1562516050330638,True,0.10686629932510838,1.6730213806955287,True
500.0,1.8703597056191077,,,False,0.8797098619639508,0.9906498436551568,True,0.13358287415638548,1.736776831462722,True
600.0,1.8968715819579844,,,False,1.0295307882494429,0.8673407937085416,True,0.1602994489876626,1.7365721329703219,True
700.0,1.9748674659708894,,,False,1.2717292906057052,0.7031381753651842,True,0.1870160238189397,1.7878514421519496,True
800.0,1.7051410497069135,,,False,1.5065128383863926,0.1986282113205209,True,0.21373259865021677,1.4914084510566967,True
900.0,2.285206041525568,,,False,1.7262520498057574,0.5589539917198105,True,0.2404491734814939,2.044756868044074,True
1000.0,1.8572213764864947,,,False,1.922208525909985,-0.06498714942349038,False,0.26716574831277096,1.5900556281737237,True
1100.0,1.904774330333658,,,False,2.0929657228628864,-0.18819139252922845,False,0.2938823231440481,1.6108920071896098,True
1200.0,1.8119324979537714,,,False,2.2478115891812753,-0.4358790912275039,False,0.3205988979753252,1.4913335999784463,True
1300.0,2.010435451091137,,,False,2.398931168961595,-0.388495717870458,False,0.3473154728066023,1.6631199782845347,True
