figure_ref,slit_separation_fs,resid_cat_mean,resid_base_mean,abs_err_cat,abs_err_base,n
Fig_2a,800,-0.275743472897,-0.275743472897,0.275743472897,0.275743472897,1
Fig_2b,500,-0.0245725403859,-0.0245725403859,0.0245725403859,0.0245725403859,1
Fig_2f,0,0.00958692454763,0.00958692454763,0.00958692454763,0.00958692454763,1
Fig_2f,99.9999999999,-0.0309187413703,-0.0309187413703,0.0309187413703,0.0309187413703,1
Fig_2f,-100,0.00442187663878,0.00442187663878,0.00442187663878,0.00442187663878,1
Fig_2f,-200,0.0282047945357,0.0282047945357,0.0282047945357,0.0282047945357,1
Fig_2f,200,0.0291869256943,0.0291869256943,0.0291869256943,0.0291869256943,1
Fig_2f,300,0.0340404864543,0.0340404864543,0.0340404864543,0.0340404864543,1
Fig_2f,-300,0.0488511629112,0.0488511629112,0.0488511629112,0.0488511629112,1
Fig_2f,-400,0.0293141624647,0.0293141624647,0.0293141624647,0.0293141624647,1
Fig_2f,400,-0.0309500031377,-0.0309500031377,0.0309500031377,0.0309500031377,1
Fig_2f,500,-0.0163611460097,-0.0163611460097,0.0163611460097,0.0163611460097,1
Fig_2f,-500,0.0454390222335,0.0454390222335,0.0454390222335,0.0454390222335,1
Fig_2f,-600,-0.0083852885642,-0.0083852885642,0.0083852885642,0.0083852885642,1
Fig_2f,600,-0.0123301784394,-0.0123301784394,0.0123301784394,0.0123301784394,1
Fig_2f,700,-0.00107261742957,-0.00107261742957,0.00107261742957,0.00107261742957,1
Fig_2f,-700,0.0287665910761,0.0287665910761,0.0287665910761,0.0287665910761,1
Fig_2f,-800,0.0117162627427,0.0117162627427,0.0117162627427,0.0117162627427,1
Fig_2f,800,-0.0440396624137,-0.0440396624137,0.0440396624137,0.0440396624137,1
Fig_2f,900,0.0359539920445,0.0359539920445,0.0359539920445,0.0359539920445,1
Fig_2f,-900,-0.0115747916119,-0.0115747916119,0.0115747916119,0.0115747916119,1
Fig_2f,-1000,-0.0180336538394,-0.0180336538394,0.0180336538394,0.0180336538394,1
Fig_2f,1000,-0.0183987008828,-0.0183987008828,0.0183987008828,0.0183987008828,1
Fig_2f,1100,-0.0111491445401,-0.0111491445401,0.0111491445401,0.0111491445401,1
Fig_2f,-1100,-0.041678637638,-0.041678637638,0.041678637638,0.041678637638,1
Fig_2f,-1200,-0.00533738184186,-0.00533738184186,0.00533738184186,0.00533738184186,1
Fig_2f,1200,-0.0256310942807,-0.0256310942807,0.0256310942807,0.0256310942807,1
Fig_2f,-1300,-0.0240733934935,-0.0240733934935,0.0240733934935,0.0240733934935,1
Fig_2f,1300,0.00377674477224,0.00377674477224,0.00377674477224,0.00377674477224,1
