absS_fs,n_traces,rmse_std,rmse_cat,V_eff_std,V_eff_cat
99.999999999909,1,0.9310841446564465,0.9304641663639727,0.4719233628885708,0.4719233628885708
100.000000000098,1,0.9283971854236286,0.9277750425460026,0.471923362887901,0.471923362887901
200.000000000007,2,0.8880093989577276,0.8879198857067084,0.22271166043974164,0.22271166043974164
299.999999999916,1,0.8837826549342994,0.8836600260659553,0.10510283574922032,0.10510283574922032
300.000000000106,1,0.8830184575149043,0.8828963233934888,0.10510283574907034,0.10510283574907034
400.000000000015,2,0.885700700595161,0.8855883532454759,0.049600483695826376,0.049600483695826376
499.999999999924,1,0.8864432300116398,0.8864088432592945,0.023407627066634115,0.023407627066634115
500.000000000113,1,0.886625742266084,0.8865918796354538,0.02340762706660088,0.02340762706660088
600.000000000022,2,0.8868470730680779,0.8868436550937344,0.011046606082511826,0.011046606082511826
699.999999999931,1,0.8868224208777467,0.8868173339275296,0.0052131514909643205,0.0052131514909643205
700.000000000121,1,0.8871831588253289,0.8871782805841948,0.005213151490956884,0.005213151490956884
800.00000000003,2,0.8874483792898715,0.8874433199013755,0.0024602079828599387,0.0024602079828599387
899.999999999939,1,0.887584638205323,0.8875830305041498,0.00116102962467657,0.00116102962467657
900.000000000128,1,0.8880415296789808,0.8880399717351201,0.0011610296246749223,0.0011610296246749223
1000.00000000003,2,0.888461351247488,0.888461310242231,0.0005479170048898731,0.0005479170048898731
1099.99999999994,1,0.8890053010969539,0.8890051627731742,0.00025857483553146066,0.00025857483553146066
1100.00000000013,1,0.889541832581342,0.8895417027476494,0.0002585748355310914,0.0002585748355310914
1200.00000000004,2,0.8901266277758827,0.8901264214222996,0.00012202750594219096,0.00012202750594219096
1299.99999999995,2,0.8905272411333406,0.89052717315996,5.758763096914343e-05,5.758763096914343e-05
