Intensity_GW_cm2,Pump,Reflectivity
5.03362951508807,pump1,0.191243286872715
5.72792324130712,pump1,0.187271520935934
6.59579039908092,pump1,0.202391254537057
7.46365755685473,pump1,0.217383005323786
8.33152471462853,pump1,0.212024601774676
9.98047231439876,pump1,0.241937055881037
11.6294199141689,pump1,0.26400089037985
15.1008885452642,pump1,0.298687849846697
19.2666509025784,pump1,0.321505173756887
28.4660427749808,pump1,0.414256342937906
38.0125815104927,pump1,0.449364453655728
56.0642183921878,pump1,0.485111470913558
71.5122538005616,pump1,0.551627891639927
90.2581844084758,pump1,0.589014427356261
5.03362951508807,pump2,0.21663010223006
5.72792324130712,pump2,0.214583695144852
6.59579039908092,pump2,0.232890593139529
7.46365755685473,pump2,0.246525996489265
8.33152471462853,pump2,0.223538150396725
9.98047231439876,pump2,0.247807859792588
11.6294199141689,pump2,0.26390697211425
15.1008885452642,pump2,0.29275201738352
19.2666509025784,pump2,0.312084541032943
28.4660427749808,pump2,0.374903783706751
38.0125815104927,pump2,0.410626500930163
56.0642183921878,pump2,0.462861293607295
71.5122538005616,pump2,0.500905927677887
90.2581844084758,pump2,0.517114827895896
