Frequency_THz,Counts_MHz,Series
229.475762585524,10.1968603160106,raw
229.441011105101,8.98863873916445,raw
229.406271448637,7.35552147137408,raw
229.371543610618,6.66996960706073,raw
229.336827585538,5.64971945657581,raw
229.302123367893,5.27783838457395,raw
229.267430952181,4.43232481906588,raw
229.232750332905,4.00200680455054,raw
229.198081504571,3.68721185500653,raw
229.163424461689,3.16906660222095,raw
229.12877919877,2.60528290152277,raw
229.09414571033,2.59201207902268,raw
229.059523990891,2.56443765559519,raw
229.024914034973,2.59536289286254,raw
228.990315837104,2.08716264330121,raw
228.955729391812,2.06258332322723,raw
228.921154693632,2.37527389654272,raw
228.886591737099,2.04642450292753,raw
228.852040516753,2.40104593286261,raw
228.817501027137,1.60155375673923,raw
228.782973262798,2.4402220281167,raw
228.748457218285,2.92077081613884,raw
228.713952888153,3.37972135967824,raw
228.679460266956,3.4613674900413,raw
228.644979349255,3.64842430595272,raw
228.610510129614,4.78970887374172,raw
228.576052602598,5.60706208220276,raw
228.541606762779,4.97643966326946,raw
228.507172604729,6.85401441773744,raw
228.472750123025,7.01516219463531,raw
228.438339312247,8.03680785271141,raw
228.403940166978,7.9345913771336,raw
228.369552681805,9.37705292978165,raw
228.335176851318,9.65304219894666,raw
228.30081267011,10.5454267190575,raw
228.266460132779,10.7155251763413,raw
228.232119233923,10.4768275829864,raw
228.197789968147,11.6482524019677,raw
228.163472330056,12.0074254789404,raw
228.129166314262,11.5837168506593,raw
228.094871915376,12.7614485402367,raw
228.060589128017,12.7387947268791,raw
228.026317946803,13.2032649164522,raw
227.992058366358,11.0820494749436,raw
227.957810381308,12.1566463661734,raw
227.923573986284,11.2402052141417,raw
227.889349175917,11.749798198725,raw
227.855135944846,13.0396347459272,raw
227.820934287709,14.3123512417483,raw
227.786744199149,12.8199659551195,raw
227.752565673814,12.3658489794041,raw
227.718398706351,11.8295936122496,raw
227.684243291415,11.1648635957523,raw
227.650099423661,11.7313594877989,raw
227.615967097749,12.0473049558042,raw
227.581846308341,11.1094908789568,raw
227.547737050104,7.94057502274505,raw
227.513639317706,7.77079718186933,raw
227.479553105821,7.07226893135891,raw
227.445478409124,7.4220195179751,raw
227.411415222294,5.63286002936262,raw
227.377363540013,6.23363438092065,raw
227.343323356967,5.63248519865958,raw
227.309294667845,5.28532114871498,raw
227.275277467339,5.12702351997335,raw
227.241271750145,4.91399374911574,raw
227.20727751096,2.79025517246972,raw
227.173294744487,2.07438599682721,raw
227.139323445431,2.77039697948486,raw
227.1053636085,2.57108939101811,raw
227.071415228405,3.92537705751509,raw
227.037478299862,1.59262578446409,raw
227.003552817589,1.86333798999986,raw
226.969638776307,2.39423913487031,raw
226.93573617074,1.94466357361546,raw
226.901844995616,1.80685773370132,raw
226.867965245666,-0.136508392470757,raw
226.834096915625,2.12807372462108,raw
226.800240000229,3.11079606186684,raw
226.766394494219,3.75073464389955,raw
226.73256039234,2.90925459545676,raw
226.698737689337,4.3748277794057,raw
226.664926379962,1.54257327091564,raw
226.631126458969,4.15949281444835,raw
226.597337921112,3.60221400878034,raw
226.563560761153,7.75002582787436,raw
226.529794973855,7.24444663536184,raw
226.496040553983,6.53777520678205,raw
226.462297496308,6.70586679822302,raw
226.428565795601,9.78408646105558,raw
226.39484544664,9.2836487229463,raw
226.361136444202,12.1923753650331,raw
226.327438783071,10.900693406124,raw
226.29375245803,13.436435319889,raw
226.26007746387,13.5573341161471,raw
226.226413795382,15.0794648925944,raw
226.192761447361,17.0932389622882,raw
226.159120414604,13.1201929369491,raw
226.125490691914,19.104675404523,raw
226.091872274095,20.7471851129076,raw
226.058265155954,18.980945110939,raw
226.024669332302,21.4797564738698,raw
225.991084797953,20.6982503206452,raw
225.957511547724,21.0879705573408,raw
225.923949576436,17.0852223190756,raw
225.890398878911,19.7669706505172,raw
225.856859449978,17.8179548749877,raw
225.823331284464,16.4850795076679,raw
225.789814377203,14.3436236461611,raw
225.756308723032,20.1716899594497,raw
225.722814316788,14.6484514231099,raw
225.689331153316,17.3838313635553,raw
225.655859227459,16.9489723310385,raw
225.622398534067,16.2237199855957,raw
225.588949067991,16.6218584626972,raw
225.555510824086,18.2465271259214,raw
225.522083797211,15.156198660417,raw
225.488667982225,12.6795695995055,raw
225.455263373994,10.8383853239593,raw
225.421869967385,12.7197539336467,raw
225.388487757268,7.5564802165894,raw
225.355116738516,7.29235521944285,raw
225.321756906008,10.9333635569821,raw
225.288408254621,7.68754231090552,raw
225.255070779239,6.19877849792609,raw
225.221744474749,5.57216646625667,raw
225.188429336039,6.44567907933891,raw
225.155125358001,3.1568613879172,raw
225.121832535531,6.73932810332678,raw
225.088550863528,10.1643616975403,raw
225.055280336892,8.85636329983365,raw
225.022020950528,2.41136972235269,raw
224.988772699344,2.49041354323618,raw
224.955535578251,6.58101615241644,raw
224.922309582163,7.26538586362614,raw
224.889094705997,1.70187643419623,raw
224.855890944672,0.981628149163744,raw
224.822698293111,3.93262575438892,raw
224.789516746242,3.9754546923908,raw
224.756346298993,3.21437067957402,raw
224.723186946296,-0.701754281757635,raw
224.690038683087,-1.39336734498918,raw
224.656901504305,8.41495441123389,raw
224.62377540489,0.73915251211429,raw
224.590660379788,0.300110222518319,raw
224.557556423946,7.13273578244482,raw
224.524463532315,6.10212271386465,raw
224.491381699849,6.06918407965761,raw
224.458310921503,8.46497887034156,raw
224.425251192239,12.6578399836369,raw
224.39220250702,11.9272663530568,raw
224.35916486081,11.0069099462361,raw
224.326138248579,15.8378446961024,raw
224.2931226653,15.0022157198945,raw
224.260118105947,15.1044731496894,raw
224.227124565498,8.20190438025824,raw
224.194142038935,17.7924596981349,raw
224.161170521241,20.2104373301117,raw
224.128210007405,14.180308258553,raw
224.095260492415,16.6725652644997,raw
224.062321971266,17.4820736996939,raw
224.029394438954,24.6228988899481,raw
223.996477890477,10.5947385014227,raw
223.963572320839,18.9501622473202,raw
223.930677725045,17.8260397777835,raw
223.897794098102,14.5157170416201,raw
223.864921435023,9.55590707141638,raw
223.832059730822,19.932191923299,raw
223.799208980516,22.8861033960302,raw
223.766369179126,17.0797493265249,raw
223.733540321674,18.2106715230855,raw
223.700722403188,15.3335382916352,raw
223.667915418696,17.2566127473209,raw
223.635119363232,19.6254378845486,raw
223.60233423183,14.2995432300516,raw
223.569560019529,9.76286303066937,raw
223.53679672137,12.6862751398316,raw
223.504044332397,15.0710236371155,raw
223.471302847659,18.2009081629417,raw
223.438572262204,6.32286131444583,raw
223.405852571087,19.3414394761309,raw
223.373143769364,10.8904782150511,raw
223.340445852094,18.551839522989,raw
223.307758814339,14.3540413908924,raw
223.275082651164,4.56708879368823,raw
223.242417357637,23.7185108556508,raw
223.209762928831,15.6430357307407,raw
223.177119359818,5.44196422162682,raw
223.144486645675,10.2416929203701,raw
223.111864781484,5.41461078148379,raw
223.079253762326,19.0703972711424,raw
223.046653583288,12.4244034067141,raw
223.014064239458,4.50132478425171,raw
222.981485725928,12.6448626259519,raw
222.948918037794,11.8671427627117,raw
222.916361170152,5.5741807661998,raw
222.883815118104,11.6351399824619,raw
222.851279876752,4.2305408674439,raw
222.818755441204,2.68625487490378,raw
222.78624180657,14.1754232387944,raw
222.75373896796,1.00939057285122,raw
222.721246920492,5.50953815581038,raw
222.688765659282,3.25561889122433,raw
222.656295179453,3.99896466626409,raw
222.623835476128,6.94354511898343,raw
222.591386544434,0.887932138309164,raw
222.558948379502,16.0757935698685,raw
222.526520976464,-1.99387177635275,raw
222.494104330457,10.9560398894238,raw
222.461698436618,12.2360273446583,raw
222.429303290089,6.15740919027212,raw
222.396918886015,10.8058878315301,raw
222.364545219544,17.937669570946,raw
222.332182285826,20.6303472360427,raw
222.299830080013,16.1651766132408,raw
222.267488597263,14.7393645816055,raw
222.235157832734,9.77620137380616,raw
222.202837781589,18.1122421794903,raw
222.170528438991,23.1330028526587,raw
222.13822980011,7.61521555420584,raw
222.105941860115,10.288152539511,raw
222.07366461418,31.8479096469698,raw
222.041398057481,23.1242223633898,raw
222.009142185198,22.6432393003986,raw
221.976896992513,31.8603337279382,raw
221.944662474611,20.3319130041168,raw
221.91243862668,17.6359984270709,raw
221.880225443911,10.9299476444268,raw
221.848022921498,3.50902823809218,raw
221.815831054636,19.4226400642996,raw
221.783649838526,10.4791808390968,raw
221.75147926837,17.9184654858446,raw
221.719319339372,21.5745215778533,raw
221.687170046742,19.2092619639986,raw
221.655031385689,-8.84438991116753,raw
221.622903351428,4.76255370395768,raw
221.590785939176,15.7826593655652,raw
221.558679144151,20.4556150702213,raw
221.526582961576,17.4733457526622,raw
221.494497386676,26.472325136633,raw
221.462422414679,-3.64385756441677,raw
221.430358040817,12.6104810386882,raw
221.398304260322,-7.78019353084996,raw
221.366261068431,11.1879738977787,raw
221.334228460384,4.47019513947201,raw
221.302206431423,8.24995956994195,raw
221.270194976793,1.9460627197767,raw
221.238194091742,1.67358240553066,raw
221.20620377152,-0.0373704272169259,raw
221.174224011382,7.90516497910445,raw
221.142254806583,11.3933858035448,raw
221.110296152382,1.00287452726186,raw
221.078348044042,-1.19775700761368,raw
221.046410476828,15.6157187675512,raw
221.014483446007,0.225390315636818,raw
229.475762585524,4.55680280622447,smooth
229.441011105101,4.70045761656422,smooth
229.406271448637,4.83598920068075,smooth
229.371543610618,4.8628955896404,smooth
229.336827585538,4.62252982428233,smooth
229.302123367893,4.12335507297541,smooth
229.267430952181,4.28347033840602,smooth
229.232750332905,4.42329015459663,smooth
229.198081504571,4.38073198420787,smooth
229.163424461689,4.48736548840304,smooth
229.12877919877,5.05174406738335,smooth
229.09414571033,5.68895496105515,smooth
229.059523990891,7.20504635517373,smooth
229.024914034973,9.24772145650439,smooth
228.990315837104,11.3834570061297,smooth
228.955729391812,13.2471918570299,smooth
228.921154693632,14.7080107404362,smooth
228.886591737099,14.9082907415043,smooth
228.852040516753,14.8580717103677,smooth
228.817501027137,15.0828229397181,smooth
228.782973262798,15.0584214860202,smooth
228.748457218285,14.8386833385598,smooth
228.713952888153,15.2995836196068,smooth
228.679460266956,15.8044140695084,smooth
228.644979349255,15.0015266160915,smooth
228.610510129614,14.1732628381874,smooth
228.576052602598,14.3294550775546,smooth
228.541606762779,15.6803380087193,smooth
228.507172604729,17.5886927962544,smooth
228.472750123025,19.7745712204263,smooth
228.438339312247,22.134147902529,smooth
228.403940166978,22.8760775801412,smooth
228.369552681805,21.8423455322671,smooth
228.335176851318,20.4933343249587,smooth
228.30081267011,19.1409944053875,smooth
228.266460132779,17.5489385346455,smooth
228.232119233923,15.9356477301212,smooth
228.197789968147,15.2203862532848,smooth
228.163472330056,15.795127081704,smooth
228.129166314262,16.2014684879812,smooth
228.094871915376,15.67165818363,smooth
228.060589128017,14.8441602520779,smooth
228.026317946803,14.1602518576963,smooth
227.992058366358,13.0777455016119,smooth
227.957810381308,11.2955311151406,smooth
227.923573986284,9.60720676043123,smooth
227.889349175917,8.33366350401538,smooth
227.855135944846,7.51396867222745,smooth
227.820934287709,6.69845344361154,smooth
227.786744199149,5.81881447675899,smooth
227.752565673814,5.17354182902247,smooth
227.718398706351,4.81122216179862,smooth
227.684243291415,4.74136255545366,smooth
227.650099423661,4.92671564793491,smooth
227.615967097749,5.1164529453547,smooth
227.581846308341,5.60725555155984,smooth
227.547737050104,6.31351945731907,smooth
227.513639317706,7.14980137758222,smooth
227.479553105821,7.95471384316608,smooth
227.445478409124,8.50120027522107,smooth
227.411415222294,9.32106473643306,smooth
227.377363540013,10.2535722737667,smooth
227.343323356967,10.6338696193044,smooth
227.309294667845,10.5407171360211,smooth
227.275277467339,10.2353015022062,smooth
227.241271750145,10.5135472516214,smooth
227.20727751096,11.2225164886236,smooth
227.173294744487,11.4716582729525,smooth
227.139323445431,11.8317279614176,smooth
227.1053636085,12.8232607093655,smooth
227.071415228405,13.811489897122,smooth
227.037478299862,14.3936781722616,smooth
227.003552817589,14.2361067789937,smooth
226.969638776307,14.2763486736047,smooth
226.93573617074,14.6045436427124,smooth
226.901844995616,14.4892078681358,smooth
226.867965245666,13.9847857414365,smooth
226.834096915625,13.7938889224716,smooth
226.800240000229,14.0530386699425,smooth
226.766394494219,14.6121623729108,smooth
226.73256039234,14.9866882653308,smooth
226.698737689337,15.5320884898293,smooth
226.664926379962,16.4411332669101,smooth
226.631126458969,17.4730204302759,smooth
226.597337921112,18.0522352000953,smooth
226.563560761153,17.8960651678879,smooth
226.529794973855,17.4735911435594,smooth
226.496040553983,17.3046594645115,smooth
226.462297496308,17.1240101745891,smooth
226.428565795601,16.6278695394028,smooth
226.39484544664,16.4108336083059,smooth
226.361136444202,16.7645992464013,smooth
226.327438783071,17.2174546528957,smooth
226.29375245803,17.2779936119939,smooth
226.26007746387,17.3020409022991,smooth
226.226413795382,17.3343577828197,smooth
226.192761447361,16.930885984618,smooth
226.159120414604,16.1360188605769,smooth
226.125490691914,15.6709465038438,smooth
226.091872274095,15.3935801022092,smooth
226.058265155954,14.800911092923,smooth
226.024669332302,13.987077809605,smooth
225.991084797953,13.3967315404398,smooth
225.957511547724,12.7606539791754,smooth
225.923949576436,11.6042280113003,smooth
225.890398878911,10.2429878122112,smooth
225.856859449978,8.94008577468992,smooth
225.823331284464,7.49587181125893,smooth
225.789814377203,5.92739178129104,smooth
225.756308723032,4.66648504689413,smooth
225.722814316788,3.62299894575414,smooth
225.689331153316,2.64369032141682,smooth
225.655859227459,1.98863694756995,smooth
225.622398534067,1.85376184259008,smooth
225.588949067991,2.06949950714522,smooth
225.555510824086,2.15863023989946,smooth
225.522083797211,2.28688153923477,smooth
225.488667982225,2.90305753147963,smooth
225.455263373994,3.58176467291654,smooth
225.421869967385,3.84036657905669,smooth
225.388487757268,3.95273147420923,smooth
225.355116738516,4.50361895413305,smooth
225.321756906008,5.41005454859502,smooth
225.288408254621,5.98342054207851,smooth
225.255070779239,6.04646725043171,smooth
225.221744474749,6.15097937321247,smooth
225.188429336039,6.40525172957346,smooth
225.155125358001,6.44532134942355,smooth
225.121832535531,6.30074578055189,smooth
225.088550863528,6.47943478081171,smooth
225.055280336892,6.95456042342099,smooth
225.022020950528,7.52970220041057,smooth
224.988772699344,8.24456787697916,smooth
224.955535578251,9.07556139345864,smooth
224.922309582163,9.92544527751813,smooth
224.889094705997,10.866992246645,smooth
224.855890944672,12.1016164499667,smooth
224.822698293111,13.4805786729748,smooth
224.789516746242,14.6270172605283,smooth
224.756346298993,15.5056468689083,smooth
224.723186946296,16.2240624679571,smooth
224.690038683087,16.6242673297134,smooth
224.656901504305,16.7573004287902,smooth
224.62377540489,16.6848419844785,smooth
224.590660379788,16.631271254919,smooth
224.557556423946,16.7355484675021,smooth
224.524463532315,16.9943545629973,smooth
224.491381699849,17.3151036738841,smooth
224.458310921503,17.8051356964769,smooth
224.425251192239,18.4583390205702,smooth
224.39220250702,19.2166465780765,smooth
224.35916486081,19.7346458757442,smooth
224.326138248579,20.0274339216416,smooth
224.2931226653,20.0896546722011,smooth
224.260118105947,19.753456714118,smooth
224.227124565498,19.0224991959551,smooth
224.194142038935,18.1322332396561,smooth
224.161170521241,17.1458123002171,smooth
224.128210007405,16.0750726042638,smooth
224.095260492415,14.9330118697495,smooth
224.062321971266,13.9089898318494,smooth
224.029394438954,12.947165622278,smooth
223.996477890477,11.9287308397279,smooth
223.963572320839,10.8615471577527,smooth
223.930677725045,9.82568795693355,smooth
223.897794098102,8.91571618420386,smooth
223.864921435023,8.13309256439038,smooth
223.832059730822,7.28502854268018,smooth
223.799208980516,6.41032209566352,smooth
223.766369179126,5.5832819223677,smooth
223.733540321674,4.94522233911442,smooth
223.700722403188,4.37072661894833,smooth
223.667915418696,3.84114214475835,smooth
223.635119363232,3.46137071205694,smooth
223.60233423183,3.21595480693263,smooth
223.569560019529,2.91781735994416,smooth
223.53679672137,2.58648785297301,smooth
223.504044332397,2.29675041238718,smooth
223.471302847659,2.0883674399931,smooth
223.438572262204,1.90648498227461,smooth
223.405852571087,1.83790221603582,smooth
223.373143769364,1.99465132259526,smooth
223.340445852094,2.24273820901714,smooth
223.307758814339,2.40406490326458,smooth
223.275082651164,2.48240463036221,smooth
223.242417357637,2.61259305622452,smooth
223.209762928831,2.90438975022676,smooth
223.177119359818,3.29192743524973,smooth
223.144486645675,3.70287602927323,smooth
223.111864781484,4.18374898674793,smooth
223.079253762326,4.7292532629979,smooth
223.046653583288,5.25778454409688,smooth
223.014064239458,5.71424386171987,smooth
222.981485725928,6.1002085720975,smooth
222.948918037794,6.48393970707862,smooth
222.916361170152,6.93211017799571,smooth
222.883815118104,7.58735824991072,smooth
222.851279876752,8.4422322906442,smooth
222.818755441204,9.29918294669362,smooth
222.78624180657,10.0165839517928,smooth
222.75373896796,10.6931701347525,smooth
222.721246920492,11.328708009351,smooth
222.688765659282,11.7978004018883,smooth
222.656295179453,12.0951823172276,smooth
222.623835476128,12.3234049093713,smooth
222.591386544434,12.4109650732413,smooth
222.558948379502,12.3989708394964,smooth
222.526520976464,12.3374614177671,smooth
222.494104330457,12.2246838804343,smooth
222.461698436618,12.1347618611281,smooth
222.429303290089,12.168805009839,smooth
222.396918886015,12.2522044043027,smooth
222.364545219544,12.3100055698184,smooth
222.332182285826,12.342212509846,smooth
222.299830080013,12.2858547817765,smooth
222.267488597263,12.0664847547331,smooth
222.235157832734,11.7177106191182,smooth
222.202837781589,11.3572586188905,smooth
222.170528438991,10.9877428811289,smooth
222.13822980011,10.5767941419658,smooth
222.105941860115,10.0851406958815,smooth
222.07366461418,9.55581181648811,smooth
222.041398057481,8.99648752061952,smooth
222.009142185198,8.39912260533721,smooth
221.976896992513,7.77208025600428,smooth
221.944662474611,7.15607205441167,smooth
221.91243862668,6.53792732533455,smooth
221.880225443911,5.90606227319439,smooth
221.848022921498,5.27757768535719,smooth
221.815831054636,4.70365376491037,smooth
221.783649838526,4.16793564389761,smooth
221.75147926837,3.67517346537954,smooth
221.719319339372,3.24992709248055,smooth
221.687170046742,2.94755000679709,smooth
221.655031385689,2.72562552386484,smooth
221.622903351428,2.54979912515605,smooth
221.590785939176,2.39776704083626,smooth
221.558679144151,2.29936992819459,smooth
221.526582961576,2.28567016681052,smooth
221.494497386676,2.33573126486748,smooth
221.462422414679,2.39717633409523,smooth
221.430358040817,2.48572827458263,smooth
221.398304260322,2.69768141694356,smooth
221.366261068431,2.99088515423784,smooth
221.334228460384,3.2779964045587,smooth
221.302206431423,3.53024059328123,smooth
221.270194976793,3.76047021187405,smooth
221.238194091742,4.0687673472289,smooth
221.20620377152,4.39802047206907,smooth
221.174224011382,6.00247608978431,smooth
221.142254806583,7.15984079444131,smooth
221.110296152382,7.95940964597006,smooth
221.078348044042,8.54871581237013,smooth
221.046410476828,8.95991347910441,smooth
221.014483446007,9.20443995350685,smooth
229.475762585524,1.09023613909516,model
229.441011105101,0.384794458009998,model
229.406271448637,0.0623070868913242,model
229.371543610618,0.13088554944065,model
229.336827585538,0.588942679646047,model
229.302123367893,1.42522811736986,model
229.267430952181,2.61910346955091,model
229.232750332905,4.14105044729534,model
229.198081504571,5.95339951028572,model
229.163424461689,8.01126107609785,model
229.12877919877,10.2636363189821,model
229.09414571033,12.6546801154416,model
229.059523990891,15.1250849036033,model
229.024914034973,17.6135512043562,model
228.990315837104,20.0583083799028,model
228.955729391812,22.3986479342485,model
228.921154693632,24.5764313224286,model
228.886591737099,26.5375348401117,model
228.852040516753,28.2331956983831,model
228.817501027137,29.6212258128334,model
228.782973262798,30.6670630922116,model
228.748457218285,31.3446340199117,model
228.713952888153,31.6370059827656,model
228.679460266956,31.5368130010935,model
228.644979349255,31.0464441233304,model
228.610510129614,30.1779896291479,model
228.576052602598,28.9529461913433,model
228.541606762779,27.4016881300549,model
228.507172604729,25.5627177048002,model
228.472750123025,23.4817128861012,model
228.438339312247,21.2103960925448,model
228.403940166978,18.8052518454319,model
228.369552681805,16.3261250704239,model
228.335176851318,13.8347347693363,model
228.30081267011,11.3931399204476,model
228.266460132779,9.06219568842637,model
228.232119233923,6.90003830395082,model
228.197789968147,4.96063630025629,model
228.163472330056,3.29244418483725,model
228.129166314262,1.93719211811607,model
228.094871915376,0.928841828199487,model
228.060589128017,0.29273489375369,model
228.026317946803,0.0449547762569251,model
227.992058366358,0.19191869545487,model
227.957810381308,0.730209748245047,model
227.923573986284,1.64665371217552,model
227.889349175917,2.91863889776095,model
227.855135944846,4.51467136951818,model
227.820934287709,6.39515199403003,model
227.786744199149,8.51335624016488,model
227.752565673814,10.8165925895905,model
227.718398706351,13.2475109413407,model
227.684243291415,15.7455286243454,model
227.650099423661,18.2483386611386,model
227.615967097749,20.6934628293599,model
227.581846308341,23.0198108985931,model
227.547737050104,25.1692072089819,model
227.513639317706,27.0878465117858,model
227.479553105821,28.7276426933831,model
227.445478409124,30.0474366126464,model
227.411415222294,31.0140327338053,model
227.377363540013,31.6030384487418,model
227.343323356967,31.7994848508143,model
227.309294667845,31.5982131272154,model
227.275277467339,31.0040165452305,model
227.241271750145,30.031534076228,model
227.20727751096,28.70489787951,model
227.173294744487,27.0571430032109,model
227.139323445431,25.1293935987289,model
227.1053636085,22.9698455409636,model
227.071415228405,20.6325704591579,model
227.037478299862,18.1761706845662,model
227.003552817589,15.6623183983139,model
226.969638776307,13.154215220414,model
226.93573617074,10.7150105436228,model
226.901844995616,8.40621803049872,model
226.867965245666,6.28616982872758,model
226.834096915625,4.40854721287705,model
226.800240000229,2.8210245488424,model
226.766394494219,1.56406074302329,model
226.73256039234,0.669868747256857,model
226.698737689337,0.161589329719732,model
226.664926379962,0.0526902976255812,model
226.631126458969,0.346606792548544,model
226.597337921112,1.03663231024113,model
226.563560761153,2.10606387090369,model
226.529794973855,3.5285984367621,model
226.496040553983,5.26897139824937,model
226.462297496308,7.28382188389625,model
226.428565795601,9.52276394329305,model
226.39484544664,11.9296374497737,model
226.361136444202,14.4439080003331,model
226.327438783071,17.0021812699696,model
226.29375245803,19.5397943032064,model
226.26007746387,21.9924441734175,model
226.226413795382,24.2978133646316,model
226.192761447361,26.3971511606059,model
226.159120414604,28.2367712672606,model
226.125490691914,29.7694278272177,model
226.091872274095,30.955534864771,model
226.058265155954,31.7641979582367,model
226.024669332302,32.174031484392,model
225.991084797953,32.1737400070267,model
225.957511547724,31.7624481616923,model
225.923949576436,30.9497695807548,model
225.890398878911,29.7556118553051,model
225.856859449978,28.2097210849858,model
225.823331284464,26.3509760618072,model
225.789814377203,24.2264484089957,model
225.756308723032,21.8902508949904,model
225.722814316788,19.4022015188924,model
225.689331153316,16.8263356820908,model
225.655859227459,14.2293027024093,model
225.622398534067,11.6786859914113,model
225.588949067991,9.2412883231077,model
225.555510824086,6.98142471703297,model
225.522083797211,4.95926550882376,model
225.488667982225,3.22927118077813,model
225.455263373994,1.838758492731,model
225.421869967385,0.826634434488488,model
225.388487757268,0.222330583773903,model
225.355116738516,0.044965689636565,model
225.321756906008,0.302758822841923,model
225.288408254621,0.992709372779584,model
225.255070779239,2.10055367201628,model
225.221744474749,3.60100125587781,model
225.188429336039,5.45824688837533,model
225.155125358001,7.62674769065074,model
225.121832535531,10.0522481861021,model
225.088550863528,12.6730300275346,model
225.055280336892,15.4213578025652,model
225.022020950528,18.2250878344241,model
224.988772699344,21.0094035150685,model
224.955535578251,23.6986386237826,model
224.922309582163,26.2181494672239,model
224.889094705997,28.4961976440603,model
224.855890944672,30.4658078205172,model
224.822698293111,32.0665690054494,model
224.789516746242,33.2463531628117,model
224.756346298993,33.9629311053128,model
224.723186946296,34.1854717395093,model
224.690038683087,33.8959159016409,model
224.656901504305,33.0902190667481,model
224.62377540489,31.7794568837316,model
224.590660379788,29.9907826364082,model
224.557556423946,27.7682155297044,model
224.524463532315,25.1732228973362,model
224.491381699849,22.2850385541963,model
224.458310921503,19.2006350113291,model
224.425251192239,16.0342414486573,model
224.39220250702,12.9162751951208,model
224.35916486081,9.99153533925664,model
224.326138248579,7.41649631831041,model
224.2931226653,5.35554001413096,model
224.260118105947,3.97597997890174,model
224.227124565498,3.44176420782136,model
224.194142038935,3.90579772734256,model
224.161170521241,5.50090926614943,model
224.128210007405,8.32960519922518,model
224.095260492415,12.4529168136039,model
224.062321971266,17.8788586059303,model
224.029394438954,24.5512722785864,model
223.996477890477,32.3401153332088,model
223.963572320839,41.0345270373753,model
223.930677725045,50.3402093708713,model
223.897794098102,59.8827213290057,model
223.864921435023,69.2181226847097,model
223.832059730822,77.8519542605438,model
223.799208980516,85.2667801773994,model
223.766369179126,90.957476035684,model
