rise_fs,V_std,V_cat,fringe_std_THz,fringe_cat_THz
2.000000000000000000e+00,9.532836769355187423e-01,6.165032840390418656e-01,1.991111111111740684e+01,1.991111111111740684e+01
4.000000000000000000e+00,9.531406972969573843e-01,6.163655414418646172e-01,1.991111111111740684e+01,1.991111111111740684e+01
6.000000000000000000e+00,9.529038376964755752e-01,6.161410802169189349e-01,1.991111111111740684e+01,1.991111111111740684e+01
8.000000000000000000e+00,9.525751783430751463e-01,6.158373522733644467e-01,1.991111111111740684e+01,1.991111111111740684e+01
1.000000000000000000e+01,9.521574786522821743e-01,6.150261710103686053e-01,1.991111111111740684e+01,1.991111111111740684e+01
1.200000000000000000e+01,9.516540379249501802e-01,6.140666683774811396e-01,1.991111111111740684e+01,1.991111111111740684e+01
1.400000000000000000e+01,9.512665481231846742e-01,6.129916128630801264e-01,1.991111111111740684e+01,1.991111111111740684e+01
1.600000000000000000e+01,9.509812898619163235e-01,6.118263724089416655e-01,1.991111111111740684e+01,1.991111111111740684e+01
1.800000000000000000e+01,9.506671121413196035e-01,6.105974881548743571e-01,1.991111111111740684e+01,1.991111111111740684e+01
2.000000000000000000e+01,9.502714260963688320e-01,6.093318577274635661e-01,1.991111111111740684e+01,1.991111111111740684e+01
2.200000000000000000e+01,9.498384574697522620e-01,6.080559862108476654e-01,1.991111111111740684e+01,1.991111111111740684e+01
2.400000000000000000e+01,9.493737924060303701e-01,6.067953320208421264e-01,1.991111111111740684e+01,1.991111111111740684e+01
2.600000000000000000e+01,9.488759385627452136e-01,6.055737650879642331e-01,1.991111111111740684e+01,1.991111111111740684e+01
2.800000000000000000e+01,9.483447423266562204e-01,6.044131453479035798e-01,1.991111111111740684e+01,1.991111111111740684e+01
3.000000000000000000e+01,9.477795507153308208e-01,5.995558649099709259e-01,1.991111111111740684e+01,1.991111111111740684e+01
3.200000000000000000e+01,9.471792065510106218e-01,5.943720026255454592e-01,1.991111111111740684e+01,1.991111111111740684e+01
3.400000000000000000e+01,9.465420594610873817e-01,5.900399195572533229e-01,1.991111111111740684e+01,1.991111111111740684e+01
3.600000000000000000e+01,9.458659901822052962e-01,5.856771320286822125e-01,1.991111111111740684e+01,1.991111111111740684e+01
3.800000000000000000e+01,9.451484453845988565e-01,5.813018062147830012e-01,1.991111111111740684e+01,1.991111111111740684e+01
4.000000000000000000e+01,9.443864802012673643e-01,5.769297303119043097e-01,1.991111111111740684e+01,1.991111111111740684e+01
